80,4.17378,4.18076
81,4.42238,4.43425
82,4.67974,4.68774
83,4.9459,4.94123
84,5.22089,5.21564
85,5.50471,5.51336
86,5.79738,5.81109
87,6.09891,6.10881
88,6.4093,6.40653
89,6.72852,6.71872
90,7.05657,7.0634
91,7.39343,7.40808
92,7.73906,7.75276
93,8.09344,8.09743
94,8.45653,8.44211
95,8.82829,8.82704
96,9.20866,9.22058
97,9.5976,9.61413
98,9.99506,10.0077
99,10.401,10.4012
100,10.8152,10.7948
101,11.2379,11.2382
102,11.6687,11.6816
103,12.1077,12.125
104,12.5549,12.5684
105,13.01,13.0118
106,13.4731,13.4552
107,13.944,13.9393
108,14.4227,14.4325
109,14.9091,14.9258
110,15.403,15.419
