ABCDE	360806	40	43.3
MFE13	377235	20	699.5
AAPL1	305627	160	411.9
ABCDE	385472	40	43.2
MFE13	338428	20	699.1
AAPL1	339961	180	412.9
ABCDE	332541	40	43.9
GOOOG	355539	40	882.9
AAPL1	329542	140	408.4
ABCDE	336612	40	42.0
MFE13	334904	30	699.9
MSFT0	363022	130	6.7
GOOOG	366444	280	914.2
MFE13	399209	10	700.0
MSFT0	394436	190	6.7
ABCDE	335034	40	42.1
GOOOG	319299	50	978.6
ABCDE	391957	40	42.1
MFE13	328869	20	700.3
GOOOG	355085	460	923.6
GOOOG	391932	170	895.7
AAPL1	309004	150	410.3
AAPL1	325769	70	408.7
AAPL1	342704	40	412.6
AAPL1	357772	110	407.8
AAPL1	389952	80	411.4
ABCDE	321822	40	43.8
MFE13	396703	10	700.3
GOOOG	343398	300	954.5
MFE13	378482	20	702.1
MSFT0	352523	160	6.5
ABCDE	333127	40	42.3
MSFT0	343159	120	6.6
MFE13	371790	10	701.7
AAPL1	391621	150	411.5
MFE13	389002	10	701.7
GOOOG	313470	400	801.7
MFE13	311991	20	699.5
MSFT0	389345	180	6.8
ABCDE	365308	40	43.6
ABCDE	304027	40	43.4
AAPL1	350471	20	414.4
GOOOG	389445	390	974.7
MFE13	338572	20	699.8
MSFT0	329205	150	6.7
GOOOG	323403	290	949.6
AAPL1	320094	70	410.2
MSFT0	338030	170	6.7
ABCDE	359479	40	43.1
MSFT0	326838	180	6.7
AAPL1	362244	80	405.6
MFE13	380456	30	700.9
AAPL1	310397	160	407.2
ABCDE	372924	40	42.6
MSFT0	364859	140	6.7
ABCDE	347465	40	43.4
GOOOG	393291	210	878.3
MSFT0	309644	130	6.7
AAPL1	359910	130	406.2
GOOOG	323356	430	840.8
MFE13	303232	30	700.1
ABCDE	357985	40	42.8
ABCDE	384219	40	42.4
AAPL1	355689	150	407.6
GOOOG	383988	230	969.4
MSFT0	320495	180	6.7
MFE13	362125	20	702.7
MSFT0	317402	190	6.7
AAPL1	328953	160	407.5
ABCDE	301850	40	42.2
ABCDE	370149	40	43.0
MSFT0	395209	110	6.6
AAPL1	374900	110	411.9
GOOOG	375672	40	944.2
AAPL1	354208	100	408.9
MSFT0	328206	190	6.7
MFE13	324487	30	699.8
GOOOG	328631	430	979.2
ABCDE	396313	40	43.0
MFE13	323069	10	700.1
MFE13	353732	10	699.9
MFE13	320500	30	702.8
MFE13	343404	30	701.7
GOOOG	314221	470	934.4
ABCDE	337558	40	43.3
MSFT0	379356	110	6.8
MFE13	381281	10	701.3
ABCDE	390379	40	43.0
AAPL1	354037	20	413.7
ABCDE	381786	40	42.7
ABCDE	370841	40	42.4
MSFT0	304320	160	6.6
MSFT0	314594	190	6.8
MFE13	323333	20	701.8
ABCDE	324670	40	43.7
ABCDE	317028	40	42.7
AAPL1	323505	100	411.3
