GOOOG	350378	460	853.3
GOOOG	348959	300	693.3
AAPL1	387704	140	401.2
GOOOG	335314	370	854.3
MFE13	344944	20	701.2
AAPL1	396353	60	400.1
MSFT0	304229	100	6.5
ABCDE	397295	40	40.0
GOOOG	318920	320	783.8
GOOOG	366712	150	799.6
AAPL1	358643	110	407.6
GOOOG	367511	130	863.1
GOOOG	336102	160	742.6
ABCDE	362027	40	39.1
GOOOG	381115	440	832.1
AAPL1	301925	170	403.3
ABCDE	308387	40	40.6
GOOOG	397480	210	739.7
MFE13	365134	30	701.6
GOOOG	323123	140	690.0
MFE13	340349	30	700.2
AAPL1	312202	130	408.7
GOOOG	326843	90	656.2
GOOOG	325784	410	820.1
MFE13	333166	20	701.4
MFE13	315223	20	700.8
MFE13	334800	10	700.7
MSFT0	312165	100	6.9
MFE13	388415	10	700.7
AAPL1	309427	80	404.4
MFE13	393004	20	700.3
AAPL1	339901	190	403.2
MSFT0	304740	120	3.7
AAPL1	334237	150	408.9
AAPL1	373596	170	402.4
GOOOG	379468	240	724.2
MFE13	354490	10	700.8
MSFT0	368622	180	5.6
GOOOG	389363	240	681.6
AAPL1	305479	40	408.7
ABCDE	330366	40	39.1
MSFT0	304619	160	4.4
MFE13	319547	10	700.0
MFE13	372016	30	701.5
AAPL1	372175	20	407.0
ABCDE	387779	40	39.4
ABCDE	358243	40	40.3
MFE13	307068	30	701.1
MFE13	392274	20	701.7
MFE13	380037	20	701.1
MSFT0	328594	170	6.5
MFE13	354366	10	700.8
MFE13	398477	30	700.7
AAPL1	371567	140	404.8
AAPL1	383896	100	402.5
ABCDE	343326	40	40.8
GOOOG	347062	180	764.0
MSFT0	356071	110	3.4
ABCDE	326909	40	39.8
MSFT0	374901	190	5.6
MFE13	350388	10	700.8
MSFT0	364680	130	3.1
ABCDE	330774	40	40.7
MFE13	313872	10	701.1
GOOOG	347557	260	740.2
GOOOG	336245	410	701.5
ABCDE	378811	40	39.4
AAPL1	378029	150	405.2
AAPL1	366851	80	404.3
MSFT0	313350	120	5.7
GOOOG	302155	350	662.9
MSFT0	355984	180	6.2
GOOOG	330081	460	818.3
MSFT0	393940	100	2.9
GOOOG	398090	250	863.8
MSFT0	328662	110	3.2
AAPL1	380082	60	406.0
MSFT0	389611	180	4.8
MFE13	359752	10	700.3
ABCDE	388401	40	39.0
MSFT0	394373	150	5.9
GOOOG	354915	170	840.0
ABCDE	372838	40	39.8
ABCDE	357675	40	39.1
GOOOG	302585	420	794.3
MSFT0	344653	160	3.1
MFE13	364630	20	701.4
MFE13	352120	20	701.0
MSFT0	337231	120	3.4
ABCDE	393713	40	40.8
AAPL1	382953	140	407.5
AAPL1	384908	120	408.8
ABCDE	337253	40	39.1
MFE13	359318	20	700.3
GOOOG	387255	100	832.9
AAPL1	393350	160	406.9
ABCDE	366846	40	40.5
ABCDE	320677	40	40.0
AAPL1	365385	150	404.2
MSFT0	307205	120	5.1
AAPL1	340672	170	408.5
MFE13	366693	30	701.3
MSFT0	393372	180	4.7
ABCDE	381095	40	39.5
AAPL1	348454	80	407.0
MFE13	375674	30	700.7
MSFT0	341704	140	4.9
MFE13	397178	20	701.7
MFE13	398797	30	701.6
MFE13	386414	30	701.7
ABCDE	338888	40	40.8
AAPL1	345474	130	408.1
MSFT0	324668	150	2.3
GOOOG	378442	460	645.7
AAPL1	388283	170	400.8
GOOOG	391371	100	711.4
ABCDE	355828	40	39.0
GOOOG	359886	130	753.1
AAPL1	314887	150	403.4
ABCDE	389971	40	40.0
AAPL1	345039	190	409.2
GOOOG	320567	360	721.1
AAPL1	389965	50	403.3
MFE13	376258	30	701.7
GOOOG	388248	450	731.8
GOOOG	328495	480	680.2
AAPL1	367322	120	405.0
MSFT0	366427	150	6.3
MSFT0	312281	110	4.1
GOOOG	340731	260	822.4
ABCDE	327528	40	40.2
GOOOG	371666	90	759.8
AAPL1	328338	100	404.7
MSFT0	389619	150	6.7
AAPL1	382657	50	400.8
AAPL1	339002	130	402.7
GOOOG	349790	30	758.9
ABCDE	369480	40	40.1
ABCDE	383436	40	40.7
AAPL1	360962	70	404.6
GOOOG	357473	300	756.5
MFE13	332604	20	701.4
MSFT0	345642	110	4.4
ABCDE	371379	40	40.7
ABCDE	388440	40	39.9
AAPL1	372085	130	404.9
MSFT0	301861	160	4.5
AAPL1	367477	150	402.2
AAPL1	343850	170	400.8
MSFT0	343782	150	2.6
ABCDE	311703	40	40.7
AAPL1	381468	80	402.3
GOOOG	332485	410	864.7
GOOOG	324622	100	826.4
ABCDE	334271	40	40.7
ABCDE	337569	40	40.8
MSFT0	354655	180	2.9
GOOOG	356192	120	745.4
MSFT0	339582	190	6.9
AAPL1	339813	30	406.4
MFE13	351536	20	701.7
MSFT0	365753	140	4.5
MSFT0	395091	140	2.3
ABCDE	372234	40	40.2
AAPL1	340007	90	402.3
AAPL1	383187	130	405.2
GOOOG	313433	490	829.8
GOOOG	306046	120	799.8
ABCDE	308424	40	40.1
AAPL1	316389	60	404.3
MSFT0	332421	120	3.4
MSFT0	330172	110	4.3
GOOOG	301168	30	647.5
AAPL1	353990	100	406.0
AAPL1	309537	60	409.5
AAPL1	314651	170	400.9
MFE13	363114	20	700.0
MFE13	385932	30	701.7
MFE13	397422	30	700.4
